area,composite_hpi,single_family_detached_hpi,single_family_attached_hpi,townhouse_hpi,apartment_hpi
Toronto W01,163.0,159.1,167.3,209.9,147.1
Toronto W02,175.7,176.7,195.6,135.3,115.4
Toronto W03,154.4,155.1,158.3,-,133.3
Toronto W04,136.8,144.0,138.5,139.0,122.0
Toronto W05,133.6,141.6,134.1,128.3,122.2
Toronto W06,147.7,165.8,152.7,155.4,130.4
Toronto W07,149.6,158.5,152.7,127.3,105.3
Toronto W08,140.4,151.5,156.2,135.4,127.9
Toronto W09,134.4,152.9,136.6,144.6,106.3
Toronto W10,133.0,142.9,141.4,112.5,122.3
Toronto C01,180.5,189.3,188.1,175.7,178.9
Toronto C02,169.7,157.0,173.2,179.9,168.9
Toronto C03,163.3,160.0,166.6,-,170.1
Toronto C04,155.7,157.9,156.2,150.5,147.1
Toronto C06,161.4,165.3,154.2,135.8,155.8
Toronto C07,154.3,172.2,159.4,128.8,145.0
Toronto C08,167.3,161.3,162.1,171.3,168.4
Toronto C09,137.0,127.4,145.0,169.9,143.1
Toronto C10,172.6,159.9,168.1,223.4,173.2
Toronto C11,135.1,155.2,165.0,115.3,117.9
Toronto C12,151.8,145.7,159.7,146.4,170.9
Toronto C13,147.4,157.8,154.0,164.9,135.6
Toronto C14,166.1,180.9,184.4,194.9,158.3
Toronto C15,154.5,175.0,163.0,167.0,129.6
Toronto E01,180.0,180.2,179.8,183.1,186.5
Toronto E02,167.9,162.5,173.7,162.7,168.3
Toronto E03,161.2,166.0,154.2,-,140.7
Toronto E04,151.7,158.4,154.7,155.5,143.5
Toronto E05,144.3,159.3,156.9,143.7,128.6
Toronto E06,168.0,168.9,170.1,-,152.6
Toronto E07,150.8,158.9,158.7,152.9,131.5
Toronto E08,147.5,161.3,152.9,148.9,120.3
Toronto E09,141.2,151.4,146.7,131.4,131.4
Toronto E10,149.9,153.7,155.2,138.6,96.0
Toronto E11,139.8,152.7,145.7,115.8,121.9
