area,composite_hpi,single_family_detached_hpi,single_family_attached_hpi,townhouse_hpi,apartment_hpi
Toronto W01,160.4,158.1,169.4,211.5,140.2
Toronto W02,179.9,177.2,202.5,134.2,120.1
Toronto W03,159.5,161.0,166.1,-,127.3
Toronto W04,141.0,147.8,144.4,141.8,125.3
Toronto W05,137.8,146.0,136.9,131.5,130.2
Toronto W06,147.2,165.4,144.8,158.4,131.1
Toronto W07,148.1,155.8,144.0,128.2,102.6
Toronto W08,138.8,149.0,151.4,141.2,126.0
Toronto W09,138.3,157.5,139.6,146.2,109.7
Toronto W10,136.7,146.2,145.7,116.7,126.2
Toronto C01,178.9,193.6,195.4,166.5,176.3
Toronto C02,169.4,156.8,171.3,166.2,170.6
Toronto C03,169.5,167.1,176.6,-,165.8
Toronto C04,155.0,159.1,158.0,143.3,137.3
Toronto C06,164.9,167.4,149.2,133.6,163.6
Toronto C07,156.6,172.3,156.1,127.2,148.5
Toronto C08,166.6,164.3,172.6,173.7,166.0
Toronto C09,129.3,124.1,143.2,152.5,130.9
Toronto C10,173.0,159.1,165.8,210.7,176.1
Toronto C11,142.0,152.4,171.5,113.8,130.8
Toronto C12,149.4,143.9,164.5,151.6,164.1
Toronto C13,149.2,160.8,152.1,142.4,137.8
Toronto C14,166.6,182.1,179.2,205.6,157.8
Toronto C15,153.0,172.9,159.7,164.2,129.0
Toronto E01,184.7,180.8,189.2,199.5,179.5
Toronto E02,164.1,155.6,171.1,162.0,165.2
Toronto E03,157.9,159.7,161.6,-,127.1
Toronto E04,152.8,161.3,156.9,151.9,143.5
Toronto E05,148.5,164.1,161.2,149.2,131.0
Toronto E06,169.5,170.3,177.7,-,148.5
Toronto E07,156.5,166.5,161.4,158.0,141.6
Toronto E08,147.5,161.1,154.5,145.6,119.2
Toronto E09,144.6,153.8,147.4,136.3,135.2
Toronto E10,151.0,152.6,151.5,151.1,116.6
Toronto E11,141.6,160.4,153.6,110.3,112.0
