area,composite_hpi,single_family_detached_hpi,single_family_attached_hpi,townhouse_hpi,apartment_hpi
Toronto W01,166.2,165.9,178.1,217.2,142.6
Toronto W02,183.2,182.5,205.5,141.2,125.9
Toronto W03,163.5,165.6,169.0,-,130.6
Toronto W04,143.7,150.5,145.1,145.9,127.7
Toronto W05,140.4,148.1,139.0,134.4,134.0
Toronto W06,149.1,172.0,154.2,156.1,127.9
Toronto W07,154.4,162.1,155.4,122.3,102.9
Toronto W08,140.5,151.3,159.7,135.4,127.1
Toronto W09,143.3,155.8,141.4,146.4,124.0
Toronto W10,138.8,149.5,147.3,121.9,125.7
Toronto C01,181.0,196.0,201.0,169.8,178.0
Toronto C02,169.6,158.7,182.2,168.1,163.4
Toronto C03,173.7,168.9,180.3,-,180.1
Toronto C04,158.6,163.5,163.0,151.4,136.7
Toronto C06,166.2,170.2,151.4,140.1,162.3
Toronto C07,157.1,174.6,155.4,132.7,146.9
Toronto C08,163.1,157.8,160.1,183.9,163.1
Toronto C09,128.9,119.5,138.0,152.0,135.7
Toronto C10,179.7,162.4,168.0,215.3,185.5
Toronto C11,145.2,150.2,168.9,111.6,139.3
Toronto C12,150.9,144.8,168.3,144.0,173.6
Toronto C13,149.8,159.4,148.3,138.4,140.9
Toronto C14,165.7,182.4,176.9,203.9,156.7
Toronto C15,155.5,173.9,162.3,163.5,134.3
Toronto E01,184.2,177.5,188.5,217.3,178.3
Toronto E02,170.1,160.5,177.9,171.7,166.3
Toronto E03,156.8,157.7,160.4,-,131.0
Toronto E04,157.0,163.0,158.9,161.2,153.7
Toronto E05,150.6,166.9,163.8,153.5,131.2
Toronto E06,171.9,172.2,182.3,-,152.4
Toronto E07,161.1,170.7,164.1,162.3,148.7
Toronto E08,151.4,163.5,156.5,156.1,123.7
Toronto E09,147.9,159.3,150.4,140.1,136.0
Toronto E10,156.1,157.9,158.5,155.7,117.8
Toronto E11,144.9,161.3,155.0,114.8,121.7
