area,composite_hpi,single_family_detached_hpi,single_family_attached_hpi,townhouse_hpi,apartment_hpi
Toronto W01,158.9,162.0,169.7,207.2,135.6
Toronto W02,190.5,186.5,216.2,144.4,132.1
Toronto W03,175.0,178.6,181.9,-,130.3
Toronto W04,154.5,161.9,158.9,139.5,137.2
Toronto W05,145.8,160.3,148.2,143.2,121.9
Toronto W06,151.1,182.1,152.7,160.5,124.1
Toronto W07,164.3,171.8,155.2,136.3,114.4
Toronto W08,148.6,159.9,165.6,141.6,135.9
Toronto W09,150.4,169.2,151.2,139.4,122.6
Toronto W10,145.2,159.5,155.6,121.1,126.3
Toronto C01,184.0,204.2,213.4,176.0,179.1
Toronto C02,173.7,157.5,177.6,169.4,174.8
Toronto C03,179.2,175.8,185.4,-,181.6
Toronto C04,162.5,167.2,165.5,150.7,142.8
Toronto C06,176.1,180.5,153.3,147.9,172.8
Toronto C07,164.7,186.2,161.5,138.3,150.9
Toronto C08,171.6,154.6,172.3,185.9,171.9
Toronto C09,134.9,123.9,147.4,165.7,142.3
Toronto C10,184.0,169.0,172.2,212.9,191.2
Toronto C11,158.5,164.3,189.4,116.6,152.9
Toronto C12,155.3,147.9,174.9,162.6,175.1
Toronto C13,155.8,169.9,161.0,149.6,139.5
Toronto C14,172.6,194.3,184.2,224.3,160.8
Toronto C15,163.9,186.0,170.2,176.1,138.6
Toronto E01,201.7,195.6,209.6,222.6,189.0
Toronto E02,186.9,172.4,195.6,170.0,175.6
Toronto E03,172.7,174.1,175.9,-,136.1
Toronto E04,172.3,179.6,175.0,168.1,166.7
Toronto E05,161.6,185.9,182.4,160.7,134.5
Toronto E06,180.9,182.1,183.7,-,162.8
Toronto E07,172.0,190.9,180.4,173.4,149.0
Toronto E08,158.7,172.8,158.1,164.5,128.2
Toronto E09,156.3,168.7,162.2,151.7,142.2
Toronto E10,161.4,163.1,157.0,169.5,125.3
Toronto E11,153.8,171.2,163.7,124.6,131.1
