area,composite_hpi,single_family_detached_hpi,single_family_attached_hpi,townhouse_hpi,apartment_hpi
Toronto W01,181.6,196.3,215.4,198.0,155.7
Toronto W02,228.3,236.1,273.0,171.8,159.8
Toronto W03,234.4,242.5,243.3,140.3,163.7
Toronto W04,205.6,215.6,211.9,185.7,174.0
Toronto W05,194.8,212.7,197.5,201.3,162.4
Toronto W06,182.2,238.8,197.1,232.1,133.0
Toronto W07,205.7,219.0,200.0,156.9,114.7
Toronto W08,174.8,191.8,194.2,186.3,155.7
Toronto W09,190.8,200.3,183.9,199.0,168.9
Toronto W10,192.2,212.4,204.6,173.5,158.7
Toronto C01,208.2,212.7,234.2,200.0,203.9
Toronto C02,222.0,205.1,238.1,214.3,212.1
Toronto C03,239.7,236.7,250.4,-,228.6
Toronto C04,212.0,220.9,220.9,182.8,163.8
Toronto C06,236.7,267.2,215.2,-,194.0
Toronto C07,220.0,286.3,212.5,183.7,171.2
Toronto C08,194.5,175.8,212.5,193.3,194.7
Toronto C09,140.4,129.5,148.0,173.9,146.6
Toronto C10,225.7,246.2,242.7,253.8,211.4
Toronto C11,202.5,194.7,219.1,136.8,210.4
Toronto C12,197.3,191.2,224.3,233.4,196.8
Toronto C13,204.5,239.4,218.2,207.5,161.0
Toronto C14,211.6,283.5,231.8,257.3,179.0
Toronto C15,222.5,291.3,253.7,232.6,160.1
Toronto E01,244.1,242.0,256.4,226.8,209.7
Toronto E02,220.8,196.3,234.9,221.0,224.3
Toronto E03,221.3,230.9,216.3,-,161.3
Toronto E04,213.0,225.3,215.1,199.2,192.9
Toronto E05,220.6,252.3,248.3,226.7,170.5
Toronto E06,230.0,233.5,228.0,213.5,202.6
Toronto E07,225.6,262.3,249.1,233.0,185.5
Toronto E08,206.7,224.8,196.6,199.5,167.6
Toronto E09,203.4,229.3,206.6,217.9,172.1
Toronto E10,225.3,225.7,213.4,242.6,158.1
Toronto E11,215.5,234.7,229.2,179.1,186.7
