area,composite_hpi,single_family_detached_hpi,single_family_attached_hpi,townhouse_hpi,apartment_hpi
Toronto W01,188.3,206.5,228.5,206.0,159.4
Toronto W02,227.0,233.0,268.0,175.5,164.4
Toronto W03,239.2,248.8,244.5,146.0,172.9
Toronto W04,213.2,222.8,215.2,192.6,184.2
Toronto W05,200.6,218.0,202.3,209.2,171.7
Toronto W06,191.4,253.7,207.4,232.2,138.8
Toronto W07,215.4,229.3,207.5,159.9,120.4
Toronto W08,180.6,196.8,198.1,188.9,163.1
Toronto W09,198.2,208.5,185.7,207.7,176.8
Toronto W10,202.3,223.0,217.0,194.0,166.6
Toronto C01,221.8,228.1,250.5,219.0,216.7
Toronto C02,225.1,209.7,240.8,213.3,215.8
Toronto C03,247.1,242.2,256.0,-,243.0
Toronto C04,227.0,233.4,231.2,206.8,188.6
Toronto C06,245.9,272.7,210.4,-,211.4
Toronto C07,233.0,303.8,221.2,198.0,180.4
Toronto C08,207.0,192.2,233.8,224.6,205.2
Toronto C09,146.6,126.8,137.7,180.7,162.2
Toronto C10,228.7,244.0,234.5,245.7,220.1
Toronto C11,209.2,192.9,214.2,152.9,226.2
Toronto C12,211.7,203.3,237.8,266.2,206.0
Toronto C13,226.2,265.4,235.7,234.9,179.3
Toronto C14,226.7,312.4,251.2,252.0,191.2
Toronto C15,231.6,313.6,269.5,239.3,163.9
Toronto E01,272.7,268.9,289.3,261.2,221.1
Toronto E02,241.5,213.5,258.1,260.8,234.0
Toronto E03,238.4,252.4,227.7,-,173.0
Toronto E04,228.5,238.6,239.0,204.8,211.5
Toronto E05,229.6,262.5,257.4,231.4,178.4
Toronto E06,242.8,245.8,249.7,221.8,216.2
Toronto E07,231.6,265.1,254.5,235.3,194.9
Toronto E08,223.1,235.5,212.2,211.0,196.0
Toronto E09,211.1,235.1,219.6,226.0,182.2
Toronto E10,232.5,230.4,222.9,254.2,184.6
Toronto E11,219.8,239.5,234.2,185.3,190.8
