area,composite_hpi,single_family_detached_hpi,single_family_attached_hpi,townhouse_hpi,apartment_hpi
Toronto W01,192.7,215.0,237.3,208.8,159.0
Toronto W02,233.0,242.1,274.2,175.8,163.3
Toronto W03,239.4,248.3,246.4,148.9,171.0
Toronto W04,212.3,222.5,219.9,191.3,179.3
Toronto W05,198.7,218.0,203.2,205.0,163.4
Toronto W06,191.1,253.0,208.7,230.1,138.4
Toronto W07,214.3,227.8,207.0,153.5,121.0
Toronto W08,180.6,196.6,199.7,182.2,163.7
Toronto W09,198.5,209.6,190.2,209.1,173.9
Toronto W10,202.2,224.4,219.0,193.5,163.6
Toronto C01,220.3,223.0,245.9,216.9,215.8
Toronto C02,222.4,206.7,233.9,211.9,216.2
Toronto C03,243.8,242.5,252.7,-,229.5
Toronto C04,225.6,234.7,236.2,197.7,175.5
Toronto C06,245.5,271.7,219.1,-,209.3
Toronto C07,230.2,299.4,220.3,189.9,179.5
Toronto C08,204.6,189.6,229.5,223.8,202.7
Toronto C09,142.9,129.8,144.0,173.7,151.4
Toronto C10,228.0,246.0,236.9,246.2,217.1
Toronto C11,213.1,198.2,223.0,149.0,228.9
Toronto C12,206.8,200.6,240.3,255.4,197.6
Toronto C13,219.2,256.7,234.8,229.2,172.2
Toronto C14,223.5,306.3,250.6,255.5,188.5
Toronto C15,231.2,312.2,270.4,239.6,162.3
Toronto E01,261.6,260.5,275.6,257.5,219.8
Toronto E02,232.2,206.0,246.3,259.9,224.2
Toronto E03,236.3,250.5,225.5,-,165.5
Toronto E04,221.2,229.2,229.5,203.0,208.7
Toronto E05,226.1,255.0,255.4,231.6,179.7
Toronto E06,239.1,242.5,244.0,219.2,210.7
Toronto E07,230.7,264.3,252.3,242.8,193.4
Toronto E08,218.3,232.0,207.7,205.6,190.2
Toronto E09,208.3,231.0,211.4,229.0,180.7
Toronto E10,234.7,233.4,222.4,256.9,176.5
Toronto E11,218.3,238.8,233.6,182.6,190.2
