area,composite_hpi,single_family_detached_hpi,single_family_attached_hpi,townhouse_hpi,apartment_hpi
Toronto W01,264.8,248.6,269.8,265.4,269.6
Toronto W02,288.7,268.4,306.5,285.4,304.6
Toronto W03,295.0,294.9,287.6,275.2,303.3
Toronto W04,268.1,260.3,250.0,241.0,284.0
Toronto W05,251.8,253.5,231.5,252.9,269.1
Toronto W06,219.8,280.5,229.0,291.7,189.2
Toronto W07,240.2,253.1,224.6,-,161.3
Toronto W08,229.9,216.8,213.5,257.3,238.7
Toronto W09,249.0,235.0,212.9,290.5,258.7
Toronto W10,258.8,257.3,259.7,223.0,267.3
Toronto C01,308.1,310.9,296.0,284.5,309.2
Toronto C02,276.7,231.6,266.2,280.9,286.6
Toronto C03,301.1,275.8,297.3,-,343.1
Toronto C04,249.1,250.4,254.1,0.0,238.1
Toronto C06,285.1,264.4,213.5,247.2,306.7
Toronto C07,263.5,289.3,203.2,245.9,254.3
Toronto C08,281.8,292.7,291.4,284.8,280.9
Toronto C09,193.9,143.0,157.6,312.3,218.9
Toronto C10,284.7,267.1,254.9,285.1,294.6
Toronto C11,272.3,214.4,248.6,222.1,316.2
Toronto C12,221.0,206.0,263.0,198.7,274.1
Toronto C13,252.1,252.8,226.4,232.6,254.6
Toronto C14,274.4,267.5,216.5,299.7,273.8
Toronto C15,247.6,285.3,232.4,275.2,231.7
Toronto E01,346.0,338.6,345.6,395.9,335.1
Toronto E02,291.3,254.7,308.2,322.4,271.8
Toronto E03,273.2,280.0,258.8,-,263.3
Toronto E04,271.8,253.4,259.9,259.3,311.3
Toronto E05,248.9,255.9,244.3,254.2,240.5
Toronto E06,271.6,272.7,274.5,0.0,261.1
Toronto E07,266.6,270.3,258.3,266.1,266.4
Toronto E08,274.9,259.8,231.9,276.3,302.8
Toronto E09,260.9,253.9,242.1,288.8,264.5
Toronto E10,266.1,252.6,247.0,319.5,264.8
Toronto E11,267.9,272.0,270.0,214.5,303.5
