area,composite_hpi,single_family_detached_hpi,single_family_attached_hpi,townhouse_hpi,apartment_hpi
Toronto W01,263.1,243.0,258.0,261.9,272.3
Toronto W02,295.0,279.6,319.5,280.4,299.3
Toronto W03,295.5,295.2,290.4,273.7,300.3
Toronto W04,269.7,260.4,250.3,238.9,287.0
Toronto W05,260.8,258.7,236.8,253.6,290.8
Toronto W06,225.9,288.8,236.6,291.3,193.7
Toronto W07,246.8,259.3,231.1,-,164.4
Toronto W08,236.1,219.7,219.7,252.2,247.9
Toronto W09,252.4,238.3,211.6,282.9,264.1
Toronto W10,268.3,261.0,266.1,233.7,281.4
Toronto C01,311.4,306.3,290.0,287.5,313.3
Toronto C02,272.9,239.9,274.3,271.4,275.8
Toronto C03,301.5,281.3,300.7,-,332.6
Toronto C04,246.4,245.9,243.3,-,241.8
Toronto C06,280.9,249.7,213.7,249.1,308.8
Toronto C07,261.5,278.2,198.6,251.2,255.9
Toronto C08,290.3,288.5,282.8,287.9,290.7
Toronto C09,196.6,142.0,154.7,307.7,225.5
Toronto C10,285.0,264.7,253.2,281.5,295.9
Toronto C11,278.4,213.1,244.5,225.9,327.3
Toronto C12,216.2,200.9,252.4,198.0,267.3
Toronto C13,257.6,249.2,223.5,233.4,268.3
Toronto C14,274.8,261.7,210.6,300.0,275.3
Toronto C15,245.4,281.9,229.0,267.2,232.0
Toronto E01,353.0,340.9,350.7,395.6,353.3
Toronto E02,302.4,262.6,321.2,329.3,285.3
Toronto E03,271.7,277.3,254.4,-,278.3
Toronto E04,275.9,252.7,268.2,264.2,319.8
Toronto E05,252.9,256.2,246.5,259.3,248.2
Toronto E06,266.9,263.8,264.7,-,274.5
Toronto E07,273.0,270.3,259.3,274.8,276.4
Toronto E08,273.7,253.9,224.6,285.4,307.2
Toronto E09,265.4,254.0,247.3,298.2,272.2
Toronto E10,266.0,251.1,249.0,314.3,273.4
Toronto E11,282.0,278.5,278.9,219.6,335.4
