area,composite_hpi,single_family_detached_hpi,single_family_attached_hpi,townhouse_hpi,apartment_hpi
Toronto W01,276.0,263.5,281.2,286.8,278.8
Toronto W02,331.5,307.4,349.1,373.5,329.1
Toronto W03,328.3,333.1,323.6,267.2,319.1
Toronto W04,319.4,292.1,283.2,265.9,363.4
Toronto W05,284.4,284.0,260.6,281.0,310.8
Toronto W06,254.2,321.6,261.7,321.0,214.5
Toronto W07,270.2,288.5,250.5,233.5,174.2
Toronto W08,255.6,245.3,241.6,308.0,259.1
Toronto W09,283.9,272.0,246.1,313.6,295.2
Toronto W10,312.8,297.0,301.9,352.5,321.7
Toronto C01,318.3,322.4,317.5,310.6,317.6
Toronto C02,290.8,259.1,289.7,310.3,291.9
Toronto C03,330.0,308.8,322.8,-,369.7
Toronto C04,261.5,262.6,269.3,-,249.9
Toronto C06,293.1,279.2,237.1,280.0,308.4
Toronto C07,278.0,304.1,217.0,283.0,263.9
Toronto C08,289.1,317.9,319.4,302.8,286.2
Toronto C09,213.1,158.8,170.8,296.4,245.4
Toronto C10,292.7,275.0,262.9,282.5,302.1
Toronto C11,306.7,235.9,274.6,272.3,360.5
Toronto C12,240.7,217.7,300.7,221.7,299.8
Toronto C13,282.2,266.8,248.0,268.3,296.3
Toronto C14,285.5,278.9,215.8,319.1,283.9
Toronto C15,270.7,301.0,247.4,299.8,257.3
Toronto E01,381.3,374.6,383.8,434.4,361.3
Toronto E02,318.3,280.9,342.9,334.1,277.7
Toronto E03,304.5,309.9,288.7,-,300.8
Toronto E04,320.9,293.4,310.7,281.7,383.8
Toronto E05,285.1,290.1,283.3,291.8,277.1
Toronto E06,305.0,312.4,311.1,-,266.6
Toronto E07,304.7,303.3,294.5,294.9,309.4
Toronto E08,313.6,293.4,263.4,321.1,350.2
Toronto E09,298.4,291.1,288.4,331.1,301.9
Toronto E10,305.2,285.1,288.5,372.6,303.9
Toronto E11,316.7,307.5,313.4,254.0,382.6
