area,composite_hpi,single_family_detached_hpi,single_family_attached_hpi,townhouse_hpi,apartment_hpi
Toronto W01,266.6,342.9,342.4,291.3,329.5
Toronto W02,343.3,360.9,387.0,354.6,364.6
Toronto W03,383.9,372.4,387.3,357.2,376.7
Toronto W04,344.9,336.8,324.9,302.3,454.1
Toronto W05,387.6,343.0,333.7,368.6,504.5
Toronto W06,333.7,390.9,383.6,387.8,302.8
Toronto W07,308.5,330.0,327.9,423.2,133.3
Toronto W08,244.2,291.1,322.1,334.7,289.6
Toronto W09,313.2,291.7,322.4,286.4,377.5
Toronto W10,350.1,324.9,336.0,402.2,431.8
Toronto C01,339.1,397.2,368.1,357.1,367.5
Toronto C02,317.4,325.4,336.8,268.1,288.6
Toronto C03,278.4,294.4,407.5,-,293.0
Toronto C04,286.1,306.8,338.4,-,290.6
Toronto C06,273.5,398.3,316.2,311.0,375.8
Toronto C07,291.8,477.5,345.7,290.7,326.0
Toronto C08,304.4,345.1,362.3,370.3,333.1
Toronto C09,260.2,241.3,259.5,272.3,303.2
Toronto C10,289.3,332.4,324.0,250.0,313.2
Toronto C11,325.5,288.8,299.6,436.1,364.0
Toronto C12,328.3,314.0,275.7,334.4,380.5
Toronto C13,291.8,330.7,323.3,396.2,294.1
Toronto C14,361.8,381.2,345.4,331.4,344.1
Toronto C15,294.4,388.3,305.3,350.1,340.2
Toronto E01,415.9,440.1,438.2,529.6,377.3
Toronto E02,390.2,393.1,387.7,427.4,351.4
Toronto E03,359.0,335.3,358.3,-,397.9
Toronto E04,418.5,398.4,370.6,374.2,418.8
Toronto E05,328.5,363.4,352.9,348.7,346.2
Toronto E06,374.5,388.7,363.8,383.1,390.6
Toronto E07,349.7,360.5,365.4,372.9,369.6
Toronto E08,345.1,341.5,314.9,373.4,372.0
Toronto E09,418.5,385.5,354.5,387.4,437.3
Toronto E10,340.6,343.8,328.2,395.6,299.9
Toronto E11,365.5,354.9,393.0,403.8,457.7
