area,composite_hpi,single_family_detached_hpi,single_family_attached_hpi,townhouse_hpi,apartment_hpi
Toronto W01,265.3,353.5,371.7,286.0,313.2
Toronto W02,344.0,393.4,413.6,510.5,334.0
Toronto W03,385.0,392.3,410.2,435.1,327.2
Toronto W04,354.5,365.1,327.6,344.7,421.2
Toronto W05,366.7,339.7,333.0,379.4,516.8
Toronto W06,318.8,409.7,378.5,336.9,283.6
Toronto W07,323.2,345.4,335.6,409.3,135.2
Toronto W08,265.0,331.9,352.4,306.1,322.7
Toronto W09,382.2,337.4,425.6,289.3,453.4
Toronto W10,369.9,339.9,336.7,386.3,460.1
Toronto C01,320.9,399.2,389.1,365.6,337.7
Toronto C02,268.7,301.0,330.0,317.5,316.5
Toronto C03,306.0,323.8,404.8,320.9,329.5
Toronto C04,303.6,329.5,342.4,-,328.7
Toronto C06,267.0,347.8,319.6,331.9,384.8
Toronto C07,330.0,371.4,333.8,333.9,359.6
Toronto C08,303.0,363.3,343.1,463.0,329.4
Toronto C09,279.5,269.0,287.6,289.5,309.1
Toronto C10,252.0,328.8,335.0,286.4,299.0
Toronto C11,326.6,315.1,318.3,501.0,369.2
Toronto C12,291.6,305.2,291.3,333.7,382.2
Toronto C13,304.8,334.4,303.8,382.6,280.8
Toronto C14,348.3,384.6,332.9,364.6,348.4
Toronto C15,297.7,381.1,339.3,367.8,337.6
Toronto E01,360.2,408.5,393.2,530.3,332.3
Toronto E02,347.5,345.9,373.2,375.6,381.3
Toronto E03,352.8,366.6,336.8,-,429.3
Toronto E04,403.4,395.1,363.9,365.8,482.4
Toronto E05,380.3,402.3,398.7,357.0,356.4
Toronto E06,373.0,376.6,359.7,386.1,441.6
Toronto E07,367.3,397.3,398.5,368.4,364.1
Toronto E08,376.8,369.8,335.4,376.3,347.4
Toronto E09,401.6,409.0,371.7,382.0,411.6
Toronto E10,357.7,374.9,358.8,404.6,296.0
Toronto E11,404.3,398.9,433.8,401.8,434.6
