area,composite_hpi,single_family_detached_hpi,single_family_attached_hpi,townhouse_hpi,apartment_hpi
Toronto W01,158.9,155.7,166.5,211.7,141.4
Toronto W02,182.7,181.6,206.1,140.4,83.9
Toronto W03,166.4,168.9,173.5,-,110.0
Toronto W04,146.1,151.6,148.1,142.6,125.3
Toronto W05,140.7,152.2,141.9,136.9,124.0
Toronto W06,144.6,168.3,146.5,150.4,123.5
Toronto W07,153.9,159.8,149.0,123.7,108.9
Toronto W08,139.9,149.7,156.6,135.1,127.5
Toronto W09,145.2,156.4,142.4,142.7,128.5
Toronto W10,138.8,151.2,147.7,125.9,121.7
Toronto C01,179.6,187.3,195.3,167.2,177.3
Toronto C02,170.6,157.4,177.5,159.7,168.6
Toronto C03,176.0,172.3,181.8,-,176.1
Toronto C04,153.1,158.4,157.5,151.6,129.8
Toronto C06,161.8,165.2,138.6,145.7,159.5
Toronto C07,155.9,173.0,153.2,137.7,144.8
Toronto C08,164.0,154.8,166.8,180.9,163.8
Toronto C09,125.9,114.9,135.0,153.5,133.9
Toronto C10,178.8,157.9,162.2,203.3,188.7
Toronto C11,146.0,151.7,173.5,115.9,140.6
Toronto C12,146.1,136.8,161.9,152.3,173.0
Toronto C13,146.2,153.9,146.4,143.8,137.3
Toronto C14,166.4,183.3,181.9,213.1,156.7
Toronto C15,158.1,175.0,160.9,169.1,138.5
Toronto E01,186.4,183.0,191.6,212.2,179.1
Toronto E02,173.8,160.6,180.8,164.3,170.8
Toronto E03,158.8,160.8,159.6,-,131.3
Toronto E04,160.3,165.7,160.1,161.3,159.4
Toronto E05,149.5,166.7,160.6,151.2,131.0
Toronto E06,170.8,171.5,178.3,-,151.6
Toronto E07,161.8,175.2,167.1,158.5,145.7
Toronto E08,152.4,164.3,149.9,155.7,126.1
Toronto E09,149.0,158.8,149.1,143.0,138.8
Toronto E10,157.9,159.9,158.2,157.6,120.5
Toronto E11,145.0,162.5,159.1,114.2,121.9
