area,composite_hpi,single_family_detached_hpi,single_family_attached_hpi,townhouse_hpi,apartment_hpi
Toronto W01,167.3,171.0,183.4,211.3,141.2
Toronto W02,191.6,193.7,218.4,155.3,134.8
Toronto W03,182.3,186.5,187.7,-,136.4
Toronto W04,158.0,166.1,162.7,139.5,140.3
Toronto W05,146.6,161.0,149.3,135.0,126.2
Toronto W06,155.6,187.0,155.6,164.2,129.0
Toronto W07,168.5,175.6,162.8,137.8,109.3
Toronto W08,149.5,163.1,167.4,150.1,133.7
Toronto W09,156.2,172.0,160.0,142.9,130.0
Toronto W10,148.8,161.6,159.0,133.4,129.2
Toronto C01,188.0,199.5,207.4,181.7,184.3
Toronto C02,189.1,174.6,196.1,189.6,187.9
Toronto C03,192.1,188.8,195.3,-,194.8
Toronto C04,171.0,175.5,169.5,154.6,151.5
Toronto C06,178.3,181.0,155.2,149.6,178.4
Toronto C07,168.0,192.0,165.7,142.4,151.0
Toronto C08,177.0,158.1,184.7,190.2,176.5
Toronto C09,137.7,128.3,148.8,184.1,141.8
Toronto C10,192.7,184.3,184.9,244.1,195.1
Toronto C11,167.3,172.9,198.1,114.9,161.7
Toronto C12,161.8,153.5,176.2,176.7,180.9
Toronto C13,163.3,180.8,165.6,171.9,143.1
Toronto C14,176.6,204.8,192.0,213.9,162.9
Toronto C15,169.5,194.8,180.7,180.0,139.3
Toronto E01,205.6,202.0,213.8,220.9,187.4
Toronto E02,189.3,175.0,197.8,173.0,181.3
Toronto E03,170.3,172.9,170.6,-,138.2
Toronto E04,174.0,181.0,175.3,169.3,168.5
Toronto E05,168.7,191.0,188.5,169.7,141.5
Toronto E06,182.9,184.4,188.9,-,163.0
Toronto E07,181.2,201.6,192.0,178.5,158.5
Toronto E08,162.6,176.5,161.9,166.1,133.1
Toronto E09,160.4,176.6,164.3,156.9,141.7
Toronto E10,170.9,173.4,169.4,173.2,123.3
Toronto E11,160.1,179.3,172.5,128.2,130.6
