area,composite_hpi,single_family_detached_hpi,single_family_attached_hpi,townhouse_hpi,apartment_hpi
Toronto W01,168.6,172.8,183.7,212.6,142.5
Toronto W02,191.6,193.3,219.0,153.6,133.2
Toronto W03,183.0,186.9,188.6,-,134.6
Toronto W04,159.0,168.0,164.4,139.6,138.9
Toronto W05,147.2,162.2,150.2,138.4,124.1
Toronto W06,155.2,188.1,158.4,162.7,126.4
Toronto W07,170.0,177.0,165.3,136.4,110.0
Toronto W08,149.2,163.6,168.7,146.4,132.8
Toronto W09,153.6,170.2,158.2,145.3,125.4
Toronto W10,147.1,159.8,156.7,132.6,127.9
Toronto C01,189.0,205.7,211.3,178.9,185.1
Toronto C02,186.6,173.0,194.5,191.2,183.1
Toronto C03,190.6,188.6,193.9,-,188.1
Toronto C04,171.3,175.4,173.3,159.4,152.7
Toronto C06,178.5,179.9,158.9,151.7,180.6
Toronto C07,166.4,190.4,164.5,142.9,149.5
Toronto C08,177.8,152.6,183.3,185.1,178.0
Toronto C09,135.5,125.6,149.9,181.3,140.1
Toronto C10,195.2,185.6,187.1,234.5,199.8
Toronto C11,164.9,171.9,199.1,114.3,157.8
Toronto C12,159.7,151.6,179.5,170.1,179.5
Toronto C13,160.8,177.0,164.2,167.9,141.5
Toronto C14,178.2,203.5,187.6,222.8,165.2
Toronto C15,171.3,198.2,182.4,179.6,140.8
Toronto E01,204.7,199.8,212.8,218.7,191.1
Toronto E02,188.2,172.5,198.2,170.5,180.9
Toronto E03,173.4,176.8,173.8,-,136.5
Toronto E04,173.5,180.7,176.0,169.2,168.0
Toronto E05,165.4,185.7,183.5,166.4,141.4
Toronto E06,186.2,187.6,189.9,-,165.1
Toronto E07,179.6,198.7,191.9,178.4,156.0
Toronto E08,165.5,179.2,161.3,165.8,137.5
Toronto E09,159.9,173.9,162.9,156.0,144.1
Toronto E10,169.6,171.2,168.1,173.3,131.5
Toronto E11,159.6,178.8,171.6,128.1,131.7
