area,composite_hpi,single_family_detached_hpi,single_family_attached_hpi,townhouse_hpi,apartment_hpi
Toronto W01,163.2,169.9,178.7,198.7,136.7
Toronto W02,191.1,195.6,216.8,146.9,135.4
Toronto W03,181.8,185.9,188.2,-,131.7
Toronto W04,159.2,167.4,163.7,135.3,140.9
Toronto W05,147.4,160.5,148.8,146.8,126.1
Toronto W06,157.3,190.0,160.3,165.6,127.7
Toronto W07,171.0,178.0,165.2,138.3,110.4
Toronto W08,150.2,164.3,168.9,149.6,134.3
Toronto W09,158.8,172.8,159.0,141.1,135.4
Toronto W10,151.2,163.0,158.8,140.1,131.7
Toronto C01,187.7,200.2,213.2,180.8,183.0
Toronto C02,186.6,173.5,195.2,185.2,182.8
Toronto C03,193.8,188.7,196.8,-,204.7
Toronto C04,167.8,174.0,172.3,156.4,139.5
Toronto C06,180.1,186.8,154.0,151.4,174.3
Toronto C07,169.9,196.3,164.8,144.0,150.6
Toronto C08,178.3,159.7,192.2,184.7,177.5
Toronto C09,134.5,129.3,149.5,169.9,135.6
Toronto C10,190.7,181.8,183.7,225.8,194.8
Toronto C11,171.7,175.8,199.7,118.1,167.7
Toronto C12,160.4,149.4,170.8,185.7,184.3
Toronto C13,163.4,176.0,163.8,170.2,147.1
Toronto C14,178.3,211.4,188.9,220.7,161.4
Toronto C15,176.3,204.1,188.6,180.5,145.7
Toronto E01,207.0,204.5,217.0,201.4,190.3
Toronto E02,185.8,170.8,195.7,163.2,182.8
Toronto E03,176.0,180.0,174.8,-,139.4
Toronto E04,175.6,180.3,176.5,177.0,173.3
Toronto E05,170.1,189.8,186.0,171.5,146.3
Toronto E06,185.9,186.4,195.3,-,172.4
Toronto E07,182.4,202.7,193.2,180.3,160.2
Toronto E08,167.7,178.3,169.4,172.4,144.9
Toronto E09,164.3,179.2,167.3,160.5,147.2
Toronto E10,177.6,178.1,173.0,183.9,139.1
Toronto E11,165.6,186.5,177.7,134.3,130.9
