area,composite_hpi,single_family_detached_hpi,single_family_attached_hpi,townhouse_hpi,apartment_hpi
Toronto W01,166.4,175.6,188.6,204.0,142.1
Toronto W02,197.0,206.2,230.2,149.9,136.7
Toronto W03,192.7,197.0,199.7,-,136.3
Toronto W04,168.8,177.6,176.3,143.2,147.3
Toronto W05,156.2,173.1,160.8,150.8,126.4
Toronto W06,157.6,198.0,166.6,161.9,120.7
Toronto W07,177.0,184.3,172.4,134.6,111.5
Toronto W08,155.4,170.3,173.1,146.2,140.3
Toronto W09,167.2,179.8,168.3,159.6,145.2
Toronto W10,160.1,176.6,172.0,138.8,134.4
Toronto C01,189.8,190.0,200.6,187.5,187.4
Toronto C02,196.9,183.7,208.0,180.7,193.5
Toronto C03,202.4,198.7,209.4,-,198.7
Toronto C04,180.2,186.6,183.7,160.8,148.9
Toronto C06,186.9,194.9,172.7,0.0,176.9
Toronto C07,177.5,207.9,170.5,148.6,155.1
Toronto C08,176.0,153.7,188.7,174.7,176.0
Toronto C09,131.1,122.2,139.0,164.3,136.9
Toronto C10,195.2,194.1,191.5,224.2,196.0
Toronto C11,174.2,170.7,188.4,113.9,178.8
Toronto C12,165.2,159.3,184.0,178.1,177.5
Toronto C13,170.5,185.4,173.9,164.9,151.5
Toronto C14,181.9,220.2,194.1,224.9,163.6
Toronto C15,184.4,213.0,195.5,194.3,151.7
Toronto E01,214.5,213.1,227.3,198.0,188.6
Toronto E02,195.4,179.2,205.4,200.0,192.7
Toronto E03,185.2,189.3,186.0,-,146.6
Toronto E04,183.8,191.9,183.6,176.7,175.6
Toronto E05,178.5,201.3,197.1,182.2,149.8
Toronto E06,189.9,190.0,184.9,-,182.6
Toronto E07,194.3,220.3,212.9,192.0,164.4
Toronto E08,179.5,192.6,155.6,173.8,146.9
Toronto E09,173.4,194.0,177.7,170.4,149.2
Toronto E10,189.2,191.5,183.3,189.1,138.9
Toronto E11,176.4,195.1,189.0,149.7,145.5
