area,composite_hpi,single_family_detached_hpi,single_family_attached_hpi,townhouse_hpi,apartment_hpi
Toronto W01,279.2,266.0,284.7,299.8,280.2
Toronto W02,332.2,310.4,353.0,375.0,324.4
Toronto W03,331.1,336.4,330.4,260.2,314.5
Toronto W04,318.6,292.7,286.5,269.9,358.7
Toronto W05,281.2,282.1,258.0,274.3,307.7
Toronto W06,257.8,321.5,260.1,324.0,220.9
Toronto W07,270.0,287.5,249.7,247.6,172.1
Toronto W08,253.7,242.8,239.0,299.5,258.1
Toronto W09,287.6,268.9,231.1,323.7,307.4
Toronto W10,308.4,293.8,300.1,355.9,314.5
Toronto C01,329.3,333.8,321.3,310.9,329.8
Toronto C02,294.7,264.8,297.7,308.4,294.0
Toronto C03,332.5,313.5,335.7,-,358.5
Toronto C04,260.8,262.8,263.0,-,247.1
Toronto C06,299.9,284.5,232.5,277.0,316.3
Toronto C07,280.3,310.5,217.8,279.9,265.8
Toronto C08,297.2,306.7,309.3,299.5,296.0
Toronto C09,213.2,153.2,162.7,295.4,249.5
Toronto C10,297.8,282.1,272.2,281.8,306.7
Toronto C11,304.0,229.8,264.5,266.3,361.7
Toronto C12,238.7,215.0,284.7,227.7,296.7
Toronto C13,278.2,265.5,243.6,273.7,290.4
Toronto C14,293.3,284.8,222.0,316.2,293.0
Toronto C15,273.1,306.2,250.2,304.4,258.8
Toronto E01,388.5,385.4,391.0,434.5,369.9
Toronto E02,317.2,279.5,344.3,339.6,272.5
Toronto E03,305.7,313.4,287.2,-,298.2
Toronto E04,315.9,287.5,304.3,283.8,379.5
Toronto E05,282.1,285.9,277.0,290.7,275.4
Toronto E06,306.5,314.6,315.0,-,264.3
Toronto E07,305.0,302.7,295.9,302.5,306.9
Toronto E08,312.9,293.5,266.2,326.2,346.0
Toronto E09,300.7,288.3,283.6,332.4,309.4
Toronto E10,300.5,281.0,282.3,361.5,301.3
Toronto E11,317.1,305.1,308.5,255.0,386.5
