area,composite_hpi,single_family_detached_hpi,single_family_attached_hpi,townhouse_hpi,apartment_hpi
Toronto W01,337.9,367.2,382.6,293.0,319.7
Toronto W02,406.6,384.1,436.2,425.9,387.9
Toronto W03,396.4,406.9,401.7,307.0,383.3
Toronto W04,377.3,354.7,347.8,317.3,417.4
Toronto W05,346.9,359.6,345.5,329.9,350.8
Toronto W06,320.9,408.1,368.2,380.1,270.2
Toronto W07,332.0,359.7,351.2,267.4,185.6
Toronto W08,317.9,335.9,365.2,366.3,296.3
Toronto W09,349.1,358.4,390.9,268.3,354.0
Toronto W10,395.0,373.1,367.5,437.8,409.9
Toronto C01,382.8,415.7,412.6,360.1,380.9
Toronto C02,352.4,333.8,348.0,328.3,354.6
Toronto C03,403.3,386.1,397.4,-,429.0
Toronto C04,325.3,337.0,340.6,-,279.4
Toronto C06,352.1,360.8,345.8,314.8,346.6
Toronto C07,375.4,401.0,332.6,318.0,370.1
Toronto C08,349.0,352.2,358.9,351.1,348.4
Toronto C09,288.5,296.2,296.9,309.3,275.8
Toronto C10,362.5,350.0,345.0,306.6,371.5
Toronto C11,394.4,364.2,395.2,329.0,411.7
Toronto C12,310.7,304.2,349.6,266.6,355.2
Toronto C13,352.0,342.3,338.6,321.4,359.3
Toronto C14,356.7,401.2,340.8,379.0,342.3
Toronto C15,368.1,364.5,317.1,357.0,375.5
Toronto E01,435.0,445.0,450.7,523.3,347.3
Toronto E02,397.6,351.4,418.3,407.3,364.8
Toronto E03,384.5,389.0,368.7,-,386.5
Toronto E04,390.5,383.3,393.2,340.4,424.2
Toronto E05,348.3,384.6,379.4,356.5,300.4
Toronto E06,397.5,406.0,402.7,367.1,360.4
Toronto E07,379.1,394.2,383.4,358.7,369.6
Toronto E08,391.5,387.4,346.8,360.4,406.9
Toronto E09,392.3,397.1,377.8,425.8,383.4
Toronto E10,409.5,395.3,397.7,471.1,368.3
Toronto E11,413.8,408.5,415.5,310.9,508.5
