area,composite_hpi,single_family_detached_hpi,single_family_attached_hpi,townhouse_hpi,apartment_hpi
Toronto W01,330.9,348.4,370.8,287.8,318.4
Toronto W02,390.1,367.4,415.4,413.6,375.1
Toronto W03,382.7,391.1,388.8,300.2,372.0
Toronto W04,359.1,340.4,328.9,308.7,392.6
Toronto W05,335.4,344.3,330.9,322.2,343.3
Toronto W06,300.8,394.6,361.9,365.1,245.5
Toronto W07,322.2,348.2,344.0,258.2,179.6
Toronto W08,301.3,314.3,345.9,348.1,283.2
Toronto W09,326.9,340.4,355.6,261.2,324.5
Toronto W10,377.1,354.0,354.3,430.6,390.9
Toronto C01,370.7,438.6,434.0,342.8,365.6
Toronto C02,333.9,320.0,334.6,327.8,332.4
Toronto C03,385.4,368.7,377.1,-,413.4
Toronto C04,317.6,328.1,343.2,-,270.3
Toronto C06,337.6,337.2,333.6,311.3,339.2
Toronto C07,350.2,374.5,310.0,315.3,341.5
Toronto C08,320.6,335.5,352.0,328.4,318.4
Toronto C09,279.0,279.9,282.1,303.6,271.7
Toronto C10,333.7,315.0,308.5,295.6,343.9
Toronto C11,376.1,340.4,369.8,318.5,396.6
Toronto C12,297.2,293.4,351.5,257.8,330.0
Toronto C13,334.6,335.0,325.0,311.5,331.5
Toronto C14,333.1,384.2,310.3,371.8,315.8
Toronto C15,342.7,350.2,302.4,344.1,343.2
Toronto E01,420.5,432.8,443.6,488.7,319.1
Toronto E02,369.6,329.0,390.9,374.0,332.6
Toronto E03,364.8,371.5,348.9,-,358.3
Toronto E04,364.5,355.5,368.7,314.2,399.6
Toronto E05,327.6,356.0,348.7,345.1,285.3
Toronto E06,367.7,377.5,373.1,332.8,326.7
Toronto E07,363.6,370.1,356.8,351.0,359.9
Toronto E08,366.2,360.0,324.8,330.9,386.5
Toronto E09,362.3,369.2,351.5,385.4,352.9
Toronto E10,376.4,363.5,368.4,425.9,342.8
Toronto E11,378.1,370.9,379.9,296.2,461.1
