area,composite_hpi,single_family_detached_hpi,single_family_attached_hpi,townhouse_hpi,apartment_hpi
Toronto W01,258.0,330.5,324.0,307.3,315.6
Toronto W02,357.4,375.8,414.0,369.9,362.7
Toronto W03,396.6,387.8,399.1,374.1,369.5
Toronto W04,364.1,353.9,339.5,315.0,479.7
Toronto W05,375.7,325.0,319.4,365.5,504.2
Toronto W06,340.0,399.6,387.7,374.2,311.9
Toronto W07,315.1,336.0,328.9,405.6,135.7
Toronto W08,258.7,317.1,333.0,320.9,295.4
Toronto W09,353.1,340.0,361.5,300.2,386.7
Toronto W10,360.8,330.1,332.3,411.4,457.7
Toronto C01,335.6,411.8,380.5,363.4,359.2
Toronto C02,330.9,342.8,365.6,272.9,290.2
Toronto C03,285.0,303.7,423.8,-,292.4
Toronto C04,308.8,334.7,367.4,-,304.4
Toronto C06,281.1,410.6,317.9,319.4,385.8
Toronto C07,296.2,481.1,344.9,298.8,335.2
Toronto C08,319.7,353.1,374.2,374.8,351.2
Toronto C09,272.6,250.4,268.7,283.5,320.9
Toronto C10,293.4,359.1,347.9,260.3,300.5
Toronto C11,336.9,300.6,310.8,460.6,365.0
Toronto C12,339.2,326.0,317.0,353.5,374.2
Toronto C13,302.6,346.8,344.0,408.1,300.2
Toronto C14,367.7,375.8,331.5,386.0,355.4
Toronto C15,306.2,410.1,327.7,377.5,340.0
Toronto E01,421.8,452.0,440.9,550.8,388.0
Toronto E02,413.8,420.5,414.8,438.6,358.6
Toronto E03,380.5,355.8,385.3,-,407.2
Toronto E04,427.1,403.9,383.3,383.9,432.6
Toronto E05,342.6,386.6,376.9,355.9,349.9
Toronto E06,391.6,407.0,400.4,395.0,393.6
Toronto E07,370.2,384.4,388.4,395.9,385.4
Toronto E08,362.0,358.1,346.6,385.6,387.2
Toronto E09,441.5,417.6,379.0,414.7,436.5
Toronto E10,370.2,378.0,360.0,422.9,299.0
Toronto E11,384.7,376.6,416.9,435.4,447.3
