area,composite_hpi,single_family_detached_hpi,single_family_attached_hpi,townhouse_hpi,apartment_hpi
Toronto W01,259.9,330.3,348.8,302.0,331.1
Toronto W02,331.3,373.4,391.2,522.7,345.2
Toronto W03,372.1,375.1,393.3,448.7,338.9
Toronto W04,349.5,357.3,327.2,356.0,419.8
Toronto W05,366.3,337.9,332.7,390.3,510.6
Toronto W06,310.1,387.8,354.6,329.6,284.5
Toronto W07,306.2,327.8,313.5,398.9,130.3
Toronto W08,255.7,317.7,330.1,297.7,323.0
Toronto W09,367.4,319.7,402.3,303.3,444.3
Toronto W10,361.1,326.4,339.1,393.5,460.4
Toronto C01,323.2,368.0,355.5,378.0,346.9
Toronto C02,262.6,287.7,323.8,323.3,312.8
Toronto C03,287.8,304.7,376.1,324.2,320.1
Toronto C04,305.8,332.9,328.5,-,320.3
Toronto C06,266.6,347.6,332.2,332.4,382.3
Toronto C07,323.5,360.6,321.5,332.9,361.2
Toronto C08,312.3,377.1,352.4,452.8,340.6
Toronto C09,254.1,242.6,258.3,295.9,290.2
Toronto C10,254.2,334.3,342.7,298.0,293.2
Toronto C11,302.8,287.4,290.9,499.8,356.1
Toronto C12,291.6,303.2,303.4,326.4,372.2
Toronto C13,308.2,341.3,310.9,374.1,277.6
Toronto C14,338.4,353.7,309.0,380.2,352.5
Toronto C15,293.2,368.4,330.8,394.7,333.1
Toronto E01,354.9,406.4,389.9,515.8,320.9
Toronto E02,334.2,330.3,360.8,359.8,379.8
Toronto E03,336.6,347.9,318.4,-,424.7
Toronto E04,399.8,389.9,368.9,365.4,471.2
Toronto E05,365.6,380.6,380.6,346.9,350.5
Toronto E06,356.4,358.8,334.0,387.4,437.5
Toronto E07,348.0,370.6,371.1,381.3,355.3
Toronto E08,363.9,353.8,311.6,378.1,346.5
Toronto E09,394.4,396.5,366.1,388.7,417.8
Toronto E10,350.1,366.1,355.1,405.1,299.4
Toronto E11,396.0,387.2,420.8,388.2,429.7
