area,composite_hpi,single_family_detached_hpi,single_family_attached_hpi,townhouse_hpi,apartment_hpi
Toronto W01,275.8,366.3,384.9,301.5,339.3
Toronto W02,358.9,399.4,441.0,513.8,346.4
Toronto W03,404.1,413.4,433.3,446.4,349.1
Toronto W04,368.7,385.7,366.9,352.9,419.6
Toronto W05,374.3,351.1,342.1,402.3,511.7
Toronto W06,334.9,417.2,382.2,345.9,308.7
Toronto W07,323.6,365.9,337.2,-,131.7
Toronto W08,268.5,333.6,355.7,308.9,334.4
Toronto W09,395.5,342.9,423.6,304.0,483.9
Toronto W10,393.5,362.5,362.4,420.6,471.2
Toronto C01,333.9,452.4,433.6,397.7,345.7
Toronto C02,275.2,312.7,331.2,315.0,334.0
Toronto C03,322.7,340.9,424.2,318.6,385.6
Toronto C04,322.4,356.1,368.2,-,355.6
Toronto C06,265.6,362.8,335.1,325.3,324.5
Toronto C07,338.1,392.5,350.2,331.7,352.2
Toronto C08,311.2,391.1,363.9,453.0,340.3
Toronto C09,294.2,275.4,298.6,280.5,363.7
Toronto C10,267.0,363.9,372.6,299.9,323.1
Toronto C11,342.5,322.3,326.9,540.2,391.3
Toronto C12,323.9,341.7,339.6,336.2,410.3
Toronto C13,330.9,371.4,343.9,379.3,290.2
Toronto C14,366.7,397.0,349.7,395.4,370.0
Toronto C15,307.1,394.2,352.5,397.2,344.3
Toronto E01,386.9,442.5,426.9,539.9,346.2
Toronto E02,374.0,394.2,416.0,370.0,338.6
Toronto E03,379.8,396.7,374.9,-,409.1
Toronto E04,409.7,400.2,390.4,375.9,479.2
Toronto E05,377.2,389.3,385.5,383.8,374.9
Toronto E06,390.4,411.0,399.1,392.8,392.9
Toronto E07,367.4,388.0,396.1,409.2,383.4
Toronto E08,396.4,392.1,367.3,391.4,372.9
Toronto E09,405.6,408.9,383.3,394.6,416.9
Toronto E10,368.6,383.6,371.8,421.4,301.6
Toronto E11,409.0,404.0,434.9,430.6,440.2
