area,composite_hpi,single_family_detached_hpi,single_family_attached_hpi,townhouse_hpi,apartment_hpi
Toronto W01,282.9,375.0,394.3,288.6,334.7
Toronto W02,376.9,422.8,462.1,529.0,351.6
Toronto W03,396.5,409.8,421.7,435.0,359.7
Toronto W04,376.9,388.4,353.8,352.3,424.7
Toronto W05,360.3,334.5,327.1,359.8,509.7
Toronto W06,311.1,391.5,366.8,336.2,272.0
Toronto W07,303.8,348.0,324.6,-,125.1
Toronto W08,264.0,318.5,336.1,309.2,320.2
Toronto W09,380.0,336.9,405.8,296.5,411.0
Toronto W10,369.5,328.7,330.8,404.4,439.9
Toronto C01,319.6,403.7,379.3,390.5,336.0
Toronto C02,264.4,284.2,300.5,334.1,327.2
Toronto C03,303.1,321.1,409.2,322.3,342.7
Toronto C04,310.1,341.9,348.8,-,325.7
Toronto C06,254.9,337.7,315.9,327.7,306.3
Toronto C07,318.3,361.9,324.7,328.2,340.8
Toronto C08,287.8,355.9,333.1,414.2,312.0
Toronto C09,278.1,252.2,270.5,293.8,337.2
Toronto C10,246.8,356.7,359.5,320.4,286.5
Toronto C11,320.0,294.5,295.4,517.7,348.7
Toronto C12,304.7,330.2,292.4,328.4,357.5
Toronto C13,312.9,345.2,327.9,371.6,285.5
Toronto C14,337.1,366.1,316.8,390.7,343.8
Toronto C15,295.0,388.8,342.1,403.6,316.8
Toronto E01,368.4,419.2,411.7,513.2,321.1
Toronto E02,363.5,381.8,396.4,342.3,358.6
Toronto E03,365.1,380.7,357.3,-,411.9
Toronto E04,393.2,375.7,367.8,373.2,472.6
Toronto E05,355.8,370.3,365.2,360.8,348.2
Toronto E06,354.8,363.7,342.3,393.1,410.4
Toronto E07,344.8,370.0,378.0,394.1,356.0
Toronto E08,368.5,350.2,298.1,400.9,374.0
Toronto E09,394.9,382.9,359.8,377.2,400.6
Toronto E10,347.3,354.4,344.5,397.5,295.3
Toronto E11,386.5,385.7,415.6,399.7,419.3
