month,count,mean,std,min,25%,50%,75%,max
feb 2012,35.0,136.23,23.77,85.3,120.95,131.9,154.5,194.6
mar 2012,35.0,138.0,21.45,98.8,123.45,132.4,154.55,192.5
apr 2012,35.0,140.39,22.95,99.9,124.0,134.6,156.2,192.3
may 2012,35.0,140.22,23.17,98.3,123.15,136.2,156.15,188.6
jun 2012,35.0,140.47,22.81,96.0,122.25,135.6,157.05,186.5
jul 2012,35.0,140.84,21.51,101.6,124.4,134.9,154.8,184.4
aug 2012,35.0,140.31,21.43,103.0,126.1,137.4,156.6,179.5
sep 2012,35.0,139.13,20.53,101.3,123.75,137.1,154.8,176.4
oct 2012,35.0,138.4,20.54,100.2,125.05,133.4,155.55,179.0
nov 2012,35.0,139.14,20.86,101.5,126.25,134.1,156.65,178.7
dec 2012,35.0,138.95,21.08,99.1,123.95,136.9,153.35,179.7
jan 2013,35.0,137.43,20.34,99.6,123.85,132.2,153.65,176.2
feb 2013,35.0,137.52,20.63,98.9,124.75,133.3,152.7,177.1
mar 2013,35.0,138.56,19.94,103.3,125.45,134.7,159.4,177.3
apr 2013,35.0,140.36,20.79,102.6,126.65,135.2,160.7,179.5
may 2013,35.0,142.07,21.77,102.5,125.9,138.1,162.6,181.0
jun 2013,35.0,142.51,21.63,101.5,125.65,138.3,160.45,184.8
jul 2013,35.0,143.59,20.47,102.9,127.8,136.7,159.5,185.5
aug 2013,35.0,143.33,21.01,104.6,127.75,136.5,161.1,187.0
sep 2013,35.0,141.7,23.47,83.9,125.7,138.5,159.45,188.7
oct 2013,35.0,143.02,20.56,110.9,126.75,138.9,160.25,191.9
nov 2013,35.0,144.83,20.6,109.8,128.7,138.5,164.3,183.9
jan 2014,35.0,145.34,22.71,106.3,130.15,138.2,162.6,189.2
feb 2014,35.0,145.94,22.45,110.1,131.4,138.7,163.5,194.4
mar 2014,35.0,148.43,21.73,114.4,131.6,142.2,169.3,191.2
apr 2014,35.0,149.87,22.11,111.0,133.1,143.8,172.65,192.3
may 2014,35.0,150.76,22.22,114.0,133.0,142.3,171.9,196.5
