month,count,mean,std,min,25%,50%,75%,max,iqr
feb 2012,35.0,147.53,13.59,123.8,136.35,146.3,157.65,175.2,21.3
mar 2012,35.0,150.12,13.4,128.7,138.6,149.2,161.75,177.8,23.15
apr 2012,35.0,152.77,13.86,130.9,142.0,153.5,163.9,180.5,21.9
may 2012,35.0,153.71,14.75,131.1,142.0,152.2,165.25,181.9,23.25
jun 2012,35.0,153.93,13.76,133.0,142.75,151.8,164.7,180.5,21.95
jul 2012,35.0,153.43,12.94,133.5,142.3,150.9,162.2,179.3,19.9
aug 2012,35.0,152.47,13.62,130.2,141.55,151.3,162.45,179.6,20.9
sep 2012,35.0,151.3,13.59,123.3,142.65,150.7,160.9,181.2,18.25
oct 2012,35.0,151.17,13.59,123.7,142.1,149.4,162.25,180.9,20.15
nov 2012,35.0,151.02,13.0,128.2,141.8,149.5,160.75,177.5,18.95
dec 2012,35.0,150.31,12.66,128.1,140.3,149.9,159.6,175.2,19.3
jan 2013,35.0,149.42,12.54,125.6,140.7,148.7,156.85,173.0,16.15
feb 2013,35.0,150.64,13.15,125.8,141.2,149.4,159.15,178.1,17.95
mar 2013,35.0,152.77,13.57,124.5,143.45,151.8,162.7,182.9,19.25
apr 2013,35.0,155.14,13.63,129.3,145.9,153.0,165.75,184.7,19.85
may 2013,35.0,156.98,13.89,130.2,147.85,155.4,167.9,184.7,20.05
jun 2013,35.0,157.55,13.69,130.5,148.85,155.8,167.0,183.7,18.15
jul 2013,35.0,157.72,13.62,128.9,148.5,156.8,166.2,184.2,17.7
aug 2013,35.0,157.25,13.93,125.2,147.6,156.0,166.65,184.7,19.05
sep 2013,35.0,157.47,14.09,125.9,146.1,157.9,166.4,186.4,20.3
oct 2013,35.0,157.73,14.11,123.9,148.8,156.8,166.6,187.3,17.8
nov 2013,35.0,159.99,13.8,127.2,151.35,158.2,168.5,187.8,17.15
jan 2014,35.0,161.68,14.48,126.6,152.3,160.6,172.8,190.9,20.5
feb 2014,35.0,163.23,14.64,130.5,154.0,161.1,172.45,196.4,18.45
mar 2014,35.0,165.7,14.53,134.9,155.55,163.9,174.35,201.7,18.8
apr 2014,35.0,167.69,14.92,135.6,157.75,165.4,176.5,203.9,18.75
may 2014,35.0,169.28,15.22,135.8,158.8,168.7,179.0,205.2,20.2
jun 2014,35.0,170.74,15.52,135.5,159.8,170.0,181.3,204.7,21.5
jul 2014,35.0,170.94,15.12,137.7,161.1,169.5,181.75,205.6,20.65
aug 2014,35.0,170.28,14.97,132.8,161.3,167.9,181.3,201.6,20.0
sep 2014,35.0,170.03,14.67,135.7,161.45,170.9,180.3,201.7,18.85
