month,count,mean,std,min,25%,50%,75%,max
feb 2012,35.0,152.75,15.53,126.4,143.3,151.9,157.0,195.3
mar 2012,35.0,155.14,15.09,129.3,147.0,154.4,161.8,194.8
apr 2012,35.0,157.87,15.01,132.5,149.75,156.7,164.95,195.3
may 2012,35.0,159.36,16.13,131.9,151.0,156.7,167.0,201.6
jun 2012,35.0,159.46,14.02,134.1,152.8,156.9,166.95,195.6
jul 2012,35.0,158.36,14.28,133.3,151.9,156.5,163.65,194.8
aug 2012,35.0,157.15,14.26,133.0,150.65,155.1,163.1,193.8
sep 2012,35.0,156.51,14.36,133.2,149.25,154.6,159.8,196.5
oct 2012,35.0,156.6,14.57,133.5,147.85,152.8,165.65,192.5
nov 2012,35.0,156.34,14.45,134.1,146.95,153.0,165.35,192.7
dec 2012,35.0,155.55,14.58,133.4,146.3,153.3,162.6,194.7
jan 2013,35.0,155.04,14.34,131.3,144.65,153.8,160.15,195.0
feb 2013,35.0,156.07,15.0,133.0,146.65,153.8,162.5,198.8
mar 2013,35.0,158.37,15.65,135.4,148.25,158.0,166.95,197.8
apr 2013,35.0,161.32,15.61,136.9,150.3,159.7,171.2,202.5
may 2013,35.0,163.47,15.31,139.8,152.0,160.8,174.35,205.2
jun 2013,35.0,164.69,15.33,139.1,154.6,162.7,174.5,205.1
jul 2013,35.0,163.86,16.08,138.0,154.6,160.4,172.95,205.5
aug 2013,35.0,162.98,15.9,135.8,153.9,161.0,171.9,203.2
sep 2013,35.0,162.43,16.71,135.0,149.05,160.1,173.5,206.1
oct 2013,35.0,162.97,15.96,136.9,149.45,160.9,170.85,206.4
nov 2013,35.0,164.59,16.83,135.9,152.15,162.6,173.65,209.5
jan 2014,35.0,167.85,16.4,140.4,156.05,164.0,178.65,212.0
feb 2014,35.0,169.95,17.52,144.2,158.0,167.1,182.15,213.7
mar 2014,35.0,172.2,17.74,147.4,158.5,170.2,182.15,216.2
apr 2014,35.0,174.18,18.28,142.8,162.5,175.2,182.8,220.7
may 2014,35.0,175.83,17.81,145.1,163.7,175.6,186.25,218.6
jun 2014,35.0,178.08,17.79,149.9,164.3,176.0,189.25,219.0
jul 2014,35.0,177.76,17.98,148.8,163.55,175.3,190.45,218.4
aug 2014,35.0,176.8,17.46,145.0,162.6,173.6,189.4,215.6
sep 2014,35.0,176.77,17.57,148.7,162.8,173.1,190.35,217.3
oct 2014,35.0,177.95,17.26,149.6,164.0,176.2,189.0,215.3
nov 2014,35.0,179.08,18.18,148.8,165.0,176.5,192.7,217.0
dec 2014,35.0,179.79,17.67,146.2,168.0,178.0,193.2,215.5
jan 2015,35.0,180.38,17.98,142.7,167.8,178.7,192.35,220.2
feb 2015,35.0,180.64,19.41,137.1,165.4,180.9,192.8,225.8
mar 2015,35.0,182.91,19.36,135.5,168.35,183.2,195.25,227.6
apr 2015,35.0,186.02,19.01,139.0,172.9,184.9,196.3,230.2
may 2015,35.0,189.42,19.31,138.3,178.3,188.9,200.75,231.4
jun 2015,35.0,191.24,19.51,144.1,179.3,189.2,203.0,231.8
jul 2015,35.0,192.11,18.71,150.0,178.0,191.0,204.5,228.0
aug 2015,35.0,192.09,17.83,156.0,177.5,189.0,204.5,229.0
sep 2015,35.0,192.77,17.19,157.0,179.5,192.0,205.0,224.0
oct 2015,35.0,193.94,18.81,156.0,181.5,191.0,211.5,229.0
nov 2015,35.0,195.26,19.53,156.0,182.5,196.0,212.0,234.0
dec 2015,35.0,195.4,20.81,147.0,183.5,192.0,211.0,239.0
