month,count,mean,std,min,25%,50%,75%,max
feb 2012,35.0,152.54,12.47,129.8,147.3,153.5,156.45,194.6
mar 2012,35.0,155.8,12.86,130.0,149.55,155.0,161.05,194.2
apr 2012,35.0,158.31,12.84,129.2,150.35,158.2,163.6,193.8
may 2012,35.0,159.9,13.91,126.5,152.4,159.2,164.2,201.2
jun 2012,35.0,159.61,12.19,127.4,153.3,158.9,165.55,189.3
jul 2012,35.0,158.55,12.58,124.5,152.55,157.2,164.2,194.9
aug 2012,35.0,157.06,12.25,120.9,151.8,156.4,163.25,191.8
sep 2012,35.0,155.52,12.75,120.1,149.05,154.9,160.8,194.8
oct 2012,35.0,155.75,12.67,117.8,148.85,155.7,161.85,193.6
nov 2012,35.0,155.23,11.69,120.5,149.15,154.5,160.1,190.6
dec 2012,35.0,154.1,12.48,116.7,148.45,153.3,159.45,192.8
jan 2013,35.0,153.38,12.09,117.1,148.55,151.6,157.45,185.0
feb 2013,35.0,155.22,12.97,115.9,149.3,154.6,158.95,190.4
mar 2013,35.0,157.96,13.23,117.1,151.8,157.3,165.1,193.1
apr 2013,35.0,160.75,12.58,124.1,154.7,160.4,166.8,193.6
may 2013,35.0,162.48,12.7,123.0,156.65,161.3,168.7,192.6
jun 2013,35.0,162.97,12.3,125.6,157.4,162.6,169.7,193.9
jul 2013,35.0,162.75,13.2,119.5,157.75,162.4,170.45,196.0
aug 2013,35.0,161.7,13.27,117.2,157.25,161.0,169.3,189.0
sep 2013,35.0,161.89,13.73,114.9,155.25,160.6,170.2,187.3
oct 2013,35.0,162.26,13.12,116.6,154.35,162.3,170.2,184.6
nov 2013,35.0,164.87,14.13,116.1,156.7,167.4,172.85,188.9
jan 2014,35.0,167.23,15.21,118.6,158.1,167.2,178.05,191.2
feb 2014,35.0,169.55,14.64,122.4,161.4,169.1,178.4,198.5
mar 2014,35.0,172.27,15.23,123.9,162.55,171.8,182.1,204.2
apr 2014,35.0,174.61,15.42,123.4,164.4,175.1,184.55,200.9
may 2014,35.0,176.52,16.12,124.4,167.15,176.8,186.05,204.0
jun 2014,35.0,177.88,16.14,125.6,171.55,177.0,187.85,205.7
jul 2014,35.0,178.29,15.5,128.3,172.45,176.6,187.9,204.8
