month,count,mean,std,min,25%,50%,75%,max
feb 2012,31.0,145.45,24.6,109.2,128.95,139.6,158.8,206.3
mar 2012,31.0,147.58,25.82,110.5,127.55,141.5,160.85,218.8
apr 2012,31.0,150.46,25.99,110.4,132.8,144.2,165.9,215.3
may 2012,31.0,151.39,27.03,108.3,133.3,146.3,168.45,221.4
jun 2012,31.0,153.04,26.75,112.5,135.35,148.9,168.45,223.4
jul 2012,31.0,152.25,25.93,111.7,135.1,149.8,165.5,221.6
aug 2012,31.0,152.22,27.61,108.1,137.0,150.3,165.15,233.6
sep 2012,31.0,149.49,26.71,105.2,135.35,143.7,160.3,224.0
oct 2012,31.0,149.26,25.99,107.2,133.65,144.3,160.95,213.5
nov 2012,31.0,148.11,25.78,107.2,131.05,143.8,157.4,211.0
dec 2012,31.0,150.39,25.21,111.1,135.6,144.6,159.75,218.3
jan 2013,31.0,151.16,24.86,112.8,137.8,147.0,160.25,215.3
feb 2013,31.0,152.13,25.61,111.3,137.45,147.4,160.7,214.0
mar 2013,31.0,151.8,26.02,113.1,134.5,148.4,161.55,216.5
apr 2013,31.0,152.42,26.29,110.3,135.25,149.2,163.1,211.5
may 2013,31.0,154.13,28.96,109.4,137.85,149.5,165.85,219.9
jun 2013,31.0,155.7,28.66,113.2,138.05,151.2,167.7,225.3
jul 2013,31.0,155.75,28.06,111.6,139.25,152.0,165.8,217.3
aug 2013,31.0,155.58,26.47,113.5,141.05,152.5,164.25,215.9
sep 2013,31.0,155.52,26.04,114.2,141.5,151.6,162.8,213.1
oct 2013,31.0,155.53,25.17,114.0,140.25,153.2,162.4,212.7
nov 2013,31.0,158.05,24.19,118.3,142.25,154.6,165.3,218.0
jan 2014,31.0,157.11,26.54,112.2,139.6,153.9,165.9,216.2
feb 2014,31.0,160.24,26.29,116.7,141.75,156.1,168.7,221.4
mar 2014,31.0,161.75,27.42,116.6,142.4,160.7,171.7,224.3
apr 2014,31.0,162.98,27.27,121.5,142.4,160.8,174.75,232.8
may 2014,31.0,165.31,28.74,115.2,145.45,163.4,176.35,241.4
jun 2014,31.0,166.89,28.35,114.3,145.85,166.4,179.25,234.5
jul 2014,31.0,167.71,28.99,114.9,146.25,169.3,180.85,244.1
aug 2014,31.0,167.54,27.41,124.1,143.6,169.5,181.4,233.8
sep 2014,31.0,168.24,27.03,120.6,146.7,170.5,182.35,234.8
oct 2014,31.0,166.57,25.73,115.0,147.4,166.1,181.55,229.8
nov 2014,31.0,167.11,25.34,118.1,146.85,169.9,182.35,225.8
dec 2014,31.0,166.78,25.23,112.5,146.65,166.5,182.15,224.9
jan 2015,30.0,169.05,25.71,111.9,147.68,169.5,184.78,228.6
feb 2015,30.0,169.79,26.04,116.8,147.32,170.65,186.88,224.8
mar 2015,30.0,171.55,26.05,116.2,149.02,173.1,190.3,223.3
apr 2015,30.0,171.26,25.94,113.9,150.12,172.1,188.7,224.9
may 2015,30.0,173.38,27.59,113.0,153.0,175.3,190.28,235.9
jun 2015,30.0,175.54,25.47,118.8,155.6,178.05,193.7,234.0
jul 2015,31.0,179.19,25.55,117.0,161.0,181.0,198.0,232.0
aug 2015,31.0,180.0,26.16,122.0,159.5,185.0,197.5,234.0
sep 2015,31.0,181.48,24.65,127.0,163.5,185.0,198.0,234.0
oct 2015,31.0,181.71,25.77,127.0,165.5,184.0,196.5,237.0
nov 2015,31.0,183.29,26.75,127.0,165.5,188.0,197.0,239.0
dec 2015,31.0,183.06,27.01,124.0,166.0,183.0,199.0,242.0
jan 2016,32.0,184.09,32.69,121.0,165.0,185.0,199.75,271.0
feb 2016,32.0,182.81,27.32,117.8,166.0,186.2,201.18,239.5
mar 2016,32.0,186.81,28.37,123.4,167.65,189.3,206.8,245.8
apr 2016,32.0,190.01,28.27,127.4,171.48,193.15,212.48,249.2
may 2016,32.0,196.05,28.77,135.5,181.55,195.05,220.35,257.3
jun 2016,32.0,196.94,27.99,136.7,178.8,197.9,217.22,251.5
jul 2016,32.0,199.33,30.35,133.5,178.1,197.85,221.32,258.6
aug 2016,32.0,202.3,29.94,136.8,183.48,199.75,226.72,257.3
sep 2016,32.0,204.77,30.87,136.5,185.22,204.55,232.3,261.8
oct 2016,32.0,208.64,29.77,142.0,193.05,209.2,232.7,257.2
nov 2016,32.0,211.72,32.18,148.9,190.95,210.5,233.6,259.9
dec 2016,32.0,213.66,31.33,146.0,193.65,212.15,235.0,266.2
jan 2017,32.0,214.63,32.47,146.7,188.02,214.45,236.32,271.5
feb 2017,32.0,213.11,34.79,142.4,180.98,213.05,232.62,281.3
mar 2017,32.0,224.35,38.56,156.0,195.38,227.05,247.38,313.9
apr 2017,32.0,236.12,41.63,160.3,203.02,236.8,266.5,326.8
may 2017,32.0,246.27,46.65,162.2,211.95,245.55,273.27,356.2
jun 2017,32.0,260.02,38.59,201.3,236.3,252.7,280.82,371.6
jul 2017,32.0,263.45,38.93,205.1,243.45,256.6,281.48,374.9
aug 2017,32.0,259.31,36.56,204.0,239.78,251.95,277.92,365.0
sep 2017,32.0,251.11,33.25,202.0,231.25,243.6,269.32,345.3
oct 2017,32.0,251.09,33.07,197.1,233.05,244.95,266.5,354.4
nov 2017,32.0,248.06,33.87,195.1,227.22,243.1,258.52,345.9
dec 2017,32.0,248.88,33.65,195.4,227.32,242.85,260.35,353.2
jan 2018,32.0,251.83,33.06,200.1,232.88,250.35,261.32,362.4
feb 2018,32.0,253.43,33.68,202.1,231.02,249.25,265.27,363.0
mar 2018,32.0,253.69,32.99,199.8,232.5,252.3,267.47,360.9
apr 2018,32.0,259.96,35.22,206.1,234.72,259.4,273.95,373.5
may 2018,32.0,265.07,36.63,201.7,244.62,262.9,286.32,370.2
jun 2018,32.0,265.78,36.25,198.0,243.8,267.05,283.35,374.7
jul 2018,32.0,265.69,35.19,197.4,245.02,267.05,280.8,370.1
aug 2018,30.0,266.36,36.16,198.4,243.42,268.95,281.42,377.5
sep 2018,30.0,266.71,36.13,200.3,244.42,271.55,279.88,381.9
oct 2018,30.0,266.71,36.88,198.7,243.68,273.9,280.27,382.6
nov 2018,30.0,266.12,38.8,203.7,242.52,265.75,280.97,392.7
dec 2018,30.0,267.03,40.27,203.7,241.35,267.65,283.42,401.9
jan 2019,30.0,265.65,40.48,202.3,241.88,263.0,281.0,406.4
feb 2019,30.0,268.45,39.73,201.1,244.05,269.05,284.18,403.6
mar 2019,30.0,267.34,38.81,197.7,242.18,273.8,285.32,392.5
apr 2019,30.0,270.04,39.37,198.3,247.0,270.05,286.75,400.1
may 2019,30.0,271.61,38.44,198.7,248.62,275.2,287.95,395.9
jun 2019,30.0,272.7,38.05,200.9,247.58,272.35,286.98,402.3
jul 2019,30.0,271.01,36.93,199.3,250.9,272.4,288.45,395.5
aug 2019,30.0,271.67,37.19,197.4,254.23,271.75,285.88,400.7
sep 2019,30.0,272.34,37.54,198.0,251.45,272.55,287.8,395.6
oct 2019,30.0,273.47,36.5,202.8,253.32,272.3,288.73,396.3
nov 2019,30.0,274.35,36.67,207.0,254.52,269.8,288.3,398.8
dec 2019,30.0,275.13,38.72,200.0,255.58,271.95,288.53,410.8
jan 2020,30.0,278.31,39.41,201.2,260.55,273.9,294.42,418.6
feb 2020,30.0,280.9,39.46,205.4,259.68,277.15,296.05,418.6
mar 2020,30.0,284.39,41.62,206.6,255.52,278.95,302.38,430.5
apr 2020,30.0,288.59,42.49,207.4,264.18,284.8,302.62,426.2
may 2020,31.0,293.6,44.99,209.7,268.3,289.3,311.65,424.5
jun 2020,31.0,294.99,45.51,212.0,268.6,293.1,311.55,426.7
jul 2020,31.0,301.34,43.66,220.9,275.3,296.2,322.2,437.6
aug 2020,31.0,303.14,41.57,227.7,275.65,299.5,323.85,434.5
sep 2020,31.0,302.05,42.95,218.8,277.3,298.2,320.85,436.9
oct 2020,31.0,302.11,42.37,221.7,280.5,296.4,320.05,434.4
nov 2020,31.0,303.02,42.95,225.1,281.65,299.4,320.95,433.6
dec 2020,31.0,302.59,41.17,224.2,279.2,301.1,318.5,425.1
jan 2021,31.0,302.45,43.29,229.7,274.2,299.4,323.2,437.8
feb 2021,31.0,307.1,45.05,227.1,277.45,299.1,327.2,450.1
mar 2021,31.0,312.51,48.51,227.1,279.1,311.9,332.3,466.8
apr 2021,31.0,322.52,49.38,238.0,290.9,323.3,340.6,479.8
may 2021,32.0,323.57,50.78,245.3,293.32,316.35,339.82,494.3
jun 2021,32.0,324.75,49.89,238.7,294.32,317.2,341.58,491.8
jul 2021,32.0,328.26,49.6,245.5,301.25,321.75,346.92,490.1
aug 2021,32.0,330.02,49.53,251.8,299.75,321.2,346.0,501.7
sep 2021,32.0,331.24,51.4,248.9,298.35,323.6,352.78,499.2
oct 2021,32.0,336.51,51.46,257.8,307.42,328.1,354.52,488.7
nov 2021,32.0,344.49,54.16,255.7,312.3,334.3,361.25,503.1
dec 2021,32.0,351.74,58.46,266.6,313.82,345.75,370.08,523.3
jan 2022,32.0,365.72,62.19,269.3,324.73,362.35,392.62,538.2
feb 2022,32.0,383.36,65.31,271.9,338.48,367.05,416.8,550.1
mar 2022,32.0,400.58,67.78,282.7,358.95,380.55,431.72,570.2
apr 2022,32.0,407.36,67.08,293.0,364.55,398.05,436.38,587.9
may 2022,32.0,420.86,60.56,307.0,367.15,427.5,459.02,599.7
jun 2022,32.0,411.63,58.63,299.1,364.98,419.65,444.78,592.9
jul 2022,32.0,405.56,55.8,297.9,363.72,410.6,429.78,575.9
aug 2022,32.0,390.92,55.67,292.6,346.33,393.85,406.55,577.3
sep 2022,32.0,378.3,55.86,280.6,339.68,382.85,398.58,571.1
oct 2022,32.0,370.89,55.18,269.0,330.85,379.65,390.25,553.1
nov 2022,32.0,365.98,55.99,256.0,322.98,371.6,398.15,533.6
dec 2022,32.0,358.08,55.87,251.3,319.08,360.35,389.72,531.1
jan 2023,32.0,358.5,57.75,250.0,326.3,362.9,389.75,529.6
feb 2023,32.0,364.66,60.14,257.3,321.95,360.85,398.52,549.1
mar 2023,32.0,371.3,60.24,260.3,320.52,374.5,406.22,550.8
apr 2023,32.0,374.29,58.74,264.1,323.5,380.75,411.8,535.5
may 2023,33.0,390.42,67.15,302.2,339.6,387.5,415.9,553.6
jun 2023,33.0,397.95,66.31,304.7,341.5,398.4,427.8,552.8
jul 2023,33.0,401.37,66.71,305.9,342.9,410.7,432.6,555.5
aug 2023,33.0,394.83,63.89,306.0,339.4,396.7,429.6,553.5
sep 2023,33.0,391.79,62.54,308.9,342.4,391.6,420.1,551.5
oct 2023,33.0,385.33,60.8,306.2,345.7,374.2,410.9,539.0
nov 2023,33.0,378.72,61.74,300.1,332.9,371.0,406.9,528.0
dec 2023,33.0,377.06,62.01,287.8,339.0,367.2,396.3,522.4
jan 2024,33.0,374.91,59.98,295.9,329.6,378.0,393.5,522.7
feb 2024,33.0,372.42,61.84,286.0,333.7,367.8,386.3,530.3
mar 2024,33.0,377.16,63.18,288.1,318.4,375.6,404.4,529.4
apr 2024,33.0,379.27,64.53,285.8,328.4,381.7,405.5,536.3
may 2024,32.0,383.62,66.64,280.5,330.1,387.6,412.05,540.2
jun 2024,32.0,383.26,67.58,270.3,329.4,388.25,408.98,547.5
jul 2024,32.0,376.7,66.82,257.2,330.7,373.05,408.72,536.7
aug 2024,32.0,373.28,66.07,258.0,328.82,367.35,399.88,539.1
sep 2024,32.0,370.78,66.86,265.5,330.33,362.15,394.2,541.7
oct 2024,32.0,370.49,64.98,265.5,328.68,362.6,393.02,532.4
nov 2024,32.0,367.8,62.86,269.5,325.4,364.9,391.18,519.5
dec 2024,32.0,368.08,60.62,271.8,319.25,365.35,393.62,520.2
jan 2025,32.0,368.45,58.7,286.5,320.35,362.9,395.82,514.0
feb 2025,32.0,375.19,60.93,288.6,328.35,372.4,400.0,529.0
mar 2025,32.0,368.87,63.11,272.9,316.7,368.55,401.08,520.5
apr 2025,32.0,341.22,46.23,253.3,309.08,341.35,373.48,460.8
